schcd,school_name,distname,blkname,cluname,schmgt_desc,schmgtdet_desc,schcat_desc,school_medium,lowest_class,highest_class,school_close,Std_1,Std_2,Std_3,Std_4,Std_5,Std_6,Std_7,Std_8,Std_9,Std_10,Std_11,Std_12
27300208101,ZPPS MIRZANPUR                                                                                                                                                                                                                                            ,Solapur,Barshi,Goudgaon,Local Body,Zilla Parishad (Primary),Primary,Marathi,1,4,N,7,7,7,7,0,0,0,0,0,0,0,0
27300208301,ZPPS MUNGASHI--R                                                                                                                                                                                                                                          ,Solapur,Barshi,Upale--Du,Local Body,Zilla Parishad (Primary),Primary,Marathi,1,4,N,12,17,16,11,0,0,0,0,0,0,0,0
27300208401,ZPPS MUNGASHI --VA                                                                                                                                                                                                                                        ,Solapur,Barshi,Raleras,Local Body,Zilla Parishad (Primary),Primary,Marathi,1,4,N,8,13,7,11,0,0,0,0,0,0,0,0
27300208402,MUNGASHI VIDYALAYA  MUNGASHI- VA                                                                                                                                                                                                                          ,Solapur,Barshi,Raleras,Private (Education Dept.),Private Aided,Pr. Up Pr. and Secondary Only,"English, Hindi, Marathi, Urdu",5,10,N,0,0,0,0,15,18,13,16,16,17,0,0
27300208501,ZPPS NAGOBACHIWADI                                                                                                                                                                                                                                        ,Solapur,Barshi,Degaon,Local Body,Zilla Parishad (Primary),Primary with Upper Primary,Marathi,1,7,N,14,18,19,21,25,14,23,0,0,0,0,0
27300208601,ZPPS NANDANI                                                                                                                                                                                                                                              ,Solapur,Barshi,Upale--Du,Local Body,Zilla Parishad (Primary),Primary with Upper Primary,Marathi,1,7,N,17,24,19,18,13,13,17,0,0,0,0,0
27300208701,ZPPS NARI                                                                                                                                                                                                                                                 ,Solapur,Barshi,Chikarde,Local Body,Zilla Parishad (Primary),Primary with Upper Primary,Marathi,1,7,N,46,35,56,45,32,45,27,0,0,0,0,0
27300208702,"SARASWATI  HIGH SCHOOL, NARI                                                                                                                                                                                                                              ",Solapur,Barshi,Chikarde,Private (Education Dept.),Private Aided,Up. Pr. Secondary and Higher Sec,"English, Hindi, Marathi, Urdu",5,12,N,0,0,0,0,18,15,22,37,47,42,88,103
27300208703,"TALENT PUBLIC SCHOOL, NARIWADI                                                                                                                                                                                                                            ",Solapur,Barshi,Chikarde,Private (Education Dept.),Self-Financed,Primary,"English, Hindi, Marathi, Urdu",1,5,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
27300208801,ZPPS NARIWADI                                                                                                                                                                                                                                             ,Solapur,Barshi,Chikarde,Local Body,Zilla Parishad (Primary),Primary,Marathi,1,4,N,5,9,9,10,0,0,0,0,0,0,0,0
27300208901,ZPPS NIMBLAK                                                                                                                                                                                                                                              ,Solapur,Barshi,Upale--Du,Local Body,Zilla Parishad (Primary),Primary,Marathi,1,4,N,3,4,7,7,0,0,0,0,0,0,0,0
27300209001,ZPPS PANDHARI                                                                                                                                                                                                                                             ,Solapur,Barshi,Pangari,Local Body,Zilla Parishad (Primary),Primary,Marathi,1,4,N,6,5,6,9,0,0,0,0,0,0,0,0
27300209101,ZPPS PANGAON  NO--1                                                                                                                                                                                                                                       ,Solapur,Barshi,Pangaon,Local Body,Zilla Parishad (Primary),Primary with Upper Primary,"English, Hindi, Marathi, Urdu",1,7,N,15,19,22,38,52,22,15,0,0,0,0,0
27300209102,ZPPS PANGAON  NO--2                                                                                                                                                                                                                                       ,Solapur,Barshi,Pangaon,Local Body,Zilla Parishad (Primary),Primary with Upper Primary,Marathi,1,7,N,23,30,13,28,41,17,23,0,0,0,0,0
27300209103,ZPPS PANGAON GIRLS                                                                                                                                                                                                                                        ,Solapur,Barshi,Pangaon,Local Body,Zilla Parishad (Primary),Primary,Marathi,1,4,N,27,31,35,43,0,0,0,0,0,0,0,0
27300209104,S.TUKARAM VIDYALAY PANGAON                                                                                                                                                                                                                                ,Solapur,Barshi,Pangaon,Private (Education Dept.),Private Aided,Up. Pr. Secondary and Higher Sec,Marathi,5,12,N,0,0,0,0,23,31,52,72,75,66,23,23
27300209201,ZPPS  PANGARI BOYS                                                                                                                                                                                                                                        ,Solapur,Barshi,Pangari,Local Body,Zilla Parishad (Primary),Primary,Marathi,1,4,N,39,39,36,51,0,0,0,0,0,0,0,0
27300209202,ZPPS  PANGARI GIRLS                                                                                                                                                                                                                                       ,Solapur,Barshi,Pangari,Local Body,Zilla Parishad (Primary),Primary,Marathi,1,4,N,35,38,27,56,0,0,0,0,0,0,0,0
27300209203,ZPPS  PANGARI URDU                                                                                                                                                                                                                                        ,Solapur,Barshi,Pangari,Local Body,Zilla Parishad (Primary),Primary with Upper Primary,Marathi,1,7,N,6,6,2,3,7,2,1,0,0,0,0,0
27300209204,SHIVCHHATRAPATI VIDYAMANDIR PANGRI                                                                                                                                                                                                                        ,Solapur,Barshi,Pangari,Private (Education Dept.),Private Aided,Upper Pr. and Secondary,Marathi,5,10,N,0,0,0,0,46,57,60,63,63,49,0,0
27300209205,SARODAY VIDYAMANDIR PANGARI                                                                                                                                                                                                                               ,Solapur,Barshi,Pangari,Private (Education Dept.),Private Aided,Up. Pr. Secondary and Higher Sec,"English, Hindi, Marathi, Urdu",5,12,N,0,0,0,0,35,45,55,75,53,51,80,107
27300209208,RAJIVGANDHI KENDRIYA NIVASI PRI-SEC ASHRAM SHALA (SC)PANGARI                                                                                                                                                                                              ,Solapur,Barshi,Pangari,Social Welfare,Social Welfare Private Un-aided,Pr. Up Pr. and Secondary Only,"English, Hindi, Marathi, Urdu",1,10,N,9,12,15,19,16,33,14,27,38,53,0,0
27300209209,"SHOBHATAI SOPAL ENGLISH MEDIUM SCHOOL, PANGARI                                                                                                                                                                                                            ",Solapur,Barshi,Pangari,Private (Education Dept.),Self-Financed,Primary,"English, Hindi, Marathi, Urdu",1,5,N,59,61,54,30,19,0,0,0,0,0,0,0
27300209301,ZPPS PATHARI                                                                                                                                                                                                                                              ,Solapur,Barshi,Kusalamb,Local Body,Zilla Parishad (Primary),Primary with Upper Primary,Marathi,1,6,N,11,6,5,5,8,1,0,0,0,0,0,0
27300209401,ZPPS PHAPHALWADI                                                                                                                                                                                                                                          ,Solapur,Barshi,Soudare,Local Body,Zilla Parishad (Primary),Primary,Marathi,1,4,N,6,8,9,8,0,0,0,0,0,0,0,0
27300209501,ZPPS PIMPALGAON --DHAS                                                                                                                                                                                                                                    ,Solapur,Barshi,Degaon,Local Body,Zilla Parishad (Primary),Primary with Upper Primary,Marathi,1,7,N,12,13,14,10,1,1,1,0,0,0,0,0
27300209502,"JAY MALHAR HIGHSCHOOL, PIMPALGAON DHAS                                                                                                                                                                                                                    ",Solapur,Barshi,Degaon,Private (Education Dept.),Private Partially aided,Pr. with Up.Pr. sec. and H.Sec.,Marathi,5,12,N,0,0,0,0,23,32,31,35,33,33,0,0
27300209503,ZPPS PAWARWASTI (PIMPALGAON DHAS)                                                                                                                                                                                                                         ,Solapur,Barshi,Degaon,Local Body,Zilla Parishad (Primary),Primary,Marathi,1,4,N,5,7,5,10,0,0,0,0,0,0,0,0
27300209601,ZPPS PIMPALGAON--PAN                                                                                                                                                                                                                                      ,Solapur,Barshi,Sakat,Local Body,Zilla Parishad (Primary),Primary,Marathi,1,5,N,11,4,10,6,0,0,0,0,0,0,0,0
